CG_Content,IC
0,100
40,74.7212
46.6667,76.4158
48.3333,74.7352
43.3333,74.963
50,59.8838
36.6667,74.576
50,75.441
61.6667,67.6092
55,57.3079
60,66.5335
68.3333,69.8892
61.6667,73.6337
68.3333,71.2931
68.3333,69.0274
63.3333,73.5489
71.6667,71.9796
65,75.7662
78.3333,64.9356
60,75.4741
78.3333,65.7269
68.3333,61.9978
60,74.1722
61.6667,72.5072
75,70.8961
60,74.9332
81.6667,59.0388
65,74.2876
66.6667,72.8662
65,71.8759
65,71.2579
63.3333,74.5032
71.6667,70.8741
78.3333,68.4696
66.6667,72.4799
83.3333,61.7559
78.3333,58.0986
75,68.0374
81.6667,65.8726
78.3333,67.7597
80,68.6235
68.3333,73.4464
61.6667,71.7204
73.3333,70.0593
80,59.4515
76.6667,61.4273
76.6667,68.1728
75,60.6873
66.6667,69.1194
76.6667,65.889
71.6667,68.7802
63.3333,76.9276
65,72.6072
61.6667,73.3298
73.3333,71.5043
80,55.6492
78.3333,59.237
78.3333,65.3514
73.3333,67.8553
66.6667,68.5184
78.3333,63.6584
58.3333,75
65,72.1905
61.6667,75.1313
50,72.8492
81.6667,60.1825
58.3333,75.3966
76.6667,50.1618
76.6667,57.2919
63.3333,72.3489
71.6667,68.6442
71.6667,71.6261
75,71.1851
75,68.1134
81.6667,64.2308
75,70.744
76.6667,65.2298
93.3333,40.8103
93.3333,51.2266
76.6667,62.9379
83.3333,61.7413
60,72.8541
60,71.2155
56.6667,75.2556
66.6667,71.9023
81.6667,60.3029
75,69.5132
68.3333,67.9926
85,62.4717
66.6667,72.8168
83.3333,63.3945
60,75.1946
56.6667,72.6175
56.6667,75.867
53.3333,74.98
65,69.6455
55,73.2599
61.6667,74.8242
66.6667,74.7849
43.3333,76.0962
56.6667,71.5909
66.6667,71.3313
68.3333,66.9339
75,60.7358
75,70.3459
81.6667,66.8023
73.3333,75.7896
76.6667,47.9609
68.3333,69.5486
73.3333,64.5831
85,60.8536
71.6667,73.2195
73.3333,71.489
80,68.8821
81.6667,60.2299
73.3333,72.138
86.6667,56.5942
76.6667,73.0012
83.3333,62.9144
71.6667,68.0245
75,65.5028
73.3333,67.2413
81.6667,62.858
81.6667,64.4815
78.3333,62.6401
81.6667,63.8931
76.6667,67.0094
81.6667,68.3849
75,73.5798
68.3333,69.3631
76.6667,65.3733
73.3333,69.0193
66.6667,68.534
65,73.6145
58.3333,72.7868
66.6667,72.0206
75,69.9268
73.3333,69.5663
66.6667,71.5654
65,71.8384
75,71.1978
