CG_Content,IC
81.4286,64.6078
75.7143,66.5689
71.4286,71.4421
84.2857,62.6201
80,61.981
70,72.7532
68.5714,72.7039
54.2857,73.8655
48.7179,74.5083
47.1429,76.0013
44.2857,74.9687
61.4286,71.6987
72.8571,70.5945
67.1429,70.9011
70,74.0053
55.7143,77.2174
60,74.0985
57.5,74.0409
24.2857,70.2667
34.2857,70.491
44.2857,74.9959
37.1429,69.9788
42.8571,73.5365
38.5714,72.2489
40,73.7325
37.1429,71.8671
40,75.0483
71.4286,58.7815
70,60.1687
64.2857,73.6504
61.4286,75.0442
57.1429,74.6043
67.1429,71.1931
64.2857,69.9881
60,75.9266
67.5,73.9177
75,69.3115
61.6667,72.3632
51.6667,72.9924
78.3333,67.1399
78.3333,66.0126
80,65.072
73.3333,72.3724
85,59.1174
68.3333,64.9594
66.6667,73.6892
65,73.5914
75,67.7015
70,71.6112
61.6667,77.3714
63.3333,74.934
71.6667,69.6267
70,68.9922
83.3333,63.5832
61.6667,74.3075
68.3333,73.5342
71.6667,66.1542
76.6667,70.8684
76.6667,64.7773
80,67.7676
83.3333,67.3666
81.6667,67.7105
76.6667,70.7085
66.6667,72.7052
75,66.6809
81.6667,66.4534
53.3333,78.9766
38.3333,75.8193
36.6667,73.8653
36.6667,74.3765
53.3333,71.2293
60,73.7682
53.3333,79.122
68.3333,73.8445
61.6667,74.3154
63.3333,75.2888
80,68.0222
75,63.0968
71.6667,69.37
78.3333,69.5496
51.6667,75.4804
83.3333,62.4133
70,69.2752
76.6667,66.862
70,67.4689
80,54.8439
86.6667,55.0333
83.3333,64.8436
81.6667,65.6268
83.3333,62.7184
83.3333,64.2258
83.3333,63.6181
71.6667,68.3384
75,69.7099
73.3333,71.3975
70,74.8599
63.3333,71.584
70,70.711
80,69.5802
76.6667,65.1528
78.3333,65.4763
80,63.3352
78.3333,67.6661
75,69.3586
73.3333,67.9106
80,62.1329
75,65.8533
58.3333,76.6177
80,68.4418
78.3333,65.6947
81.6667,64.6046
75,69.5873
85,63.3974
90,60.754
76.6667,70.037
78.3333,64.3499
70,70.8618
85,63.4046
61.6667,74.5829
68.3333,68.6239
75,69.5159
80,66.5318
80,65.774
85,63.4475
76.6667,66.9706
58.3333,76.0317
68.3333,75.8095
51.6667,76.0864
78.3333,62.8358
83.3333,64.6242
73.3333,74.2904
71.6667,68.6411
66.6667,68.5076
71.6667,68.8336
66.6667,72.7453
70,72.6952
36.6667,72.3036
28.3333,72.6776
41.6667,74.4332
75,68.4486
68.3333,72.7482
78.3333,59.9084
70,70.9498
70,70.3954
71.6667,66.0631
80,67.0063
73.3333,68.9727
78.3333,68.7665
71.6667,70.2074
65,74.5592
75,68.402
63.3333,72.5491
73.3333,68.5648
66.6667,70.8406
70,71.1945
78.3333,66.2993
65,70.8792
66.6667,69.4622
65,74.3931
65,72.7104
71.6667,70.1786
83.3333,67.3992
85,61.2359
78.3333,68.2268
71.6667,72.1886
78.3333,66.899
45,75.5259
60,72.8352
70,73.2725
63.3333,73.969
66.6667,72.4512
70,71.7499
56.6667,76.4562
58.3333,76.1692
51.6667,76.5662
71.6667,72.7434
70,69.1153
86.6667,59.2416
78.3333,64.4491
73.3333,59.2697
76.6667,63.956
78.3333,70.3565
73.3333,72.1045
83.3333,62.7988
75,68.0939
86.6667,50.8975
68.3333,73.2478
68.3333,71.5448
78.3333,69.3074
81.6667,64.4251
80,67.7184
76.6667,66.1928
78.3333,69.0474
91.6667,49.8696
78.3333,65.5349
81.6667,62.6254
53.3333,76.4144
48.3333,76.0682
71.6667,69.7222
75,68.2402
83.3333,66.1265
73.3333,70.783
66.6667,72.116
85,57.3985
80,57.9431
86.6667,60.5735
81.6667,63.9299
76.6667,64.1424
